Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
Neural Correlates of Mathematical Problem Solving;Lin, Chun-Ling and Jung, Melody and Wu, Ying Choon and She, Hsiao-Ching and Jung, Tzyy-Ping;2015;International Journal of Neural Systems;Taiwan;10.1142/S0129065715500045;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"11 healthy adults (9 males, 2 females); 15-49 years";-;"Mathematical problem solving; Mental arithmetic (combining four single-digit numbers to equal 24 - Math24 puzzle)";Pre-stimulus baseline period (2 s);"EOG (removed via ICA for blinks, eye moment); EMG (removed via ICA for muscle activity); ECG (removed via ICA for EKG)";-;"Solution latencies (SLs); Accuracy (correctly solved trials)";"12 representative sites: Frontal (F3, F4, Fz), Central (C3, C4, Cz), Parietal (P3, P4, Pz), Occipital (O3, O4, Oz); International 10-20 system (implied)";"BioSemi ActiveTwo EEG system; 3D digitizer (Zebris Medical GmbH); MATLAB; EEGLAB";"128 channels; Technology: Conductive gel; Reference: CMS-DRL ground, re-referenced offline to an average of the left and right mastoids";"Notch filter (60 Hz); Band-pass filter (2-30 Hz); Down-sampling (to 256 Hz); Re-referencing (avg mastoids); Visual inspection/Rejection of channels/segments; ICA (to remove blinks, EKG, muscle activity); Epoching; Baseline subtraction; Linear time-warping";"$\theta$ (4-7 Hz); $\alpha$ (8-13 Hz); $\beta$ (14-30 Hz) (General analysis range 2 to 30 Hz)";"MATLAB (The Mathworks, Inc.); EEGLAB (open source toolbox)";"Repeated-measures one-way ANOVA (behavioral); Paired-sample repeated-measure ANOVA (topography); Nonparametric bootstrap method (ERSP reliability)";-;1;Suzana;;
Neuro-cognitive performance is enhanced during short periods of microgravity;Wollseiffen, Petra and Vogt, Tobias and Abeln, Vera and Strüder, Heiko K. and Askew, Christopher D. and Schneider, Stefan;2016;Physiology and Behavior;Germany;10.1016/j.physbeh.2015.11.036;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);"Total 43 participants (female: $n=13$, age $35.0 \pm 8.7$; male: $n=31$, age $39.9 \pm 9.2$ years). 34 for ERP analysis";"Healthy participants undergoing Parabolic Flight; Subgroups by Flight Experience (First-time vs Frequent Flyers) and Medication Use (Scopolamine)";Mental arithmetic task (executive function/problem solving);Normal gravity phase ($1G$) during the same parabola;-;-;"Reaction time; Accuracy (percentage of errors)";"Centro-frontal, Centro-parietal, Superior frontal gyrus, Medial frontal gyrus (BA 6); International 10-20 system";"actiCAP (Brain Products GmbH); Brain Vision amplifier and RecView software; Brain Vision Analyzer 2.0";"32 Ag-AgCl electrodes; Technology: Electro-Gel™; Reference: Electrode mounted in the triangle of FP1, FP2 and Fz";"Filters (5-30.0 Hz); Automatic artifact rejection; Baseline correction; Current Source Density (CSD) maps; sLORETA";"Filter range: 5-30.0 Hz; ERP components N1 and P2 analyzed";"Brain Vision Analyzer 2.0; STATISTICA version 7.1; sLORETA software";"Two-way repeated measures ANOVA; Fisher's LSD test; Paired sampled t-test (sLORETA)";-;1;Felipe;;
Neurophysiological evidence for the validity of verbal strategy reports in mental arithmetic;Grabner, Roland H. and De Smedt, Bert;2011;Biological Psychology;Switzerland;10.1016/j.biopsycho.2011.02.019;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"19 participants (10 males, 9 females); Ages 20 to 31 years (M=24.47, SD = 2.93 years)";;Mental arithmetic;Pre-stimulus reference interval (for ERS/ERD computation);EOG;;"Accuracy (correctly solved trials); Response latency (time from problem onset to speech onset); Verbal strategy reports (Retrieval, Procedure, Other)";"64 scalp electrodes (Extended 10-20 system); Aggregated over 8 cortical areas per Hemisphere (anteriofrontal, frontal, frontocentral, central, centroparietal, parietal, parietooccipital, temporal)";"BioSemi Active Two system (EEG); Voice-activated microphone (voice-key)";"64 scalp electrodes (Active electrodes); Layout: Extended 10-20 system; Reference: Not explicitly stated";"Band-pass filtered (0.5-45 Hz); EOG artifacts reduced by regression method; Visual inspection for artifacts; 3D spline surface Laplacian estimation (spatial filtering)";"Theta (3-6 Hz); Lower alpha (8-10 Hz); Upper alpha (10-13 Hz)";;"Repeated measures ANOVAs (Factors: Strategy, Problem Size, Hemisphere, Area); Huynh-Feldt procedure (correction for sphericity violation); Post hoc comparisons";;1;Felipe;;
Oscillatory EEG correlates of arithmetic strategy use in addition and subtraction;De Smedt, Bert and Grabner, Roland H. and Studer, Bettina;2009;Experimental Brain Research;Belgium;10.1007/s00221-009-1839-9;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);20 adults (11 males, 9 females). Mean age = 22.60, SD=3.10.;-;Arithmetic strategy use in addition and subtraction, specifically retrieval versus procedural strategies.;-;EOG (Electrooculogram).;-;Error rates and Reaction times (RT) (measured via a voice-activated device/voice-key).;64 scalp electrodes according to the extended 10-20 system. Topographically aggregated into eight cortical areas per hemisphere: anteriofrontal (AF), frontal (F), frontocentral (FC), central (C), centroparietal (CP), parietal (P), parietooccipital (PO), and temporal (T).;BioSemi ActiveTwo system (BioSemi, Amsterdam, The Netherlands);64 scalp electrodes. BioSemi ActiveTwo system.;Band-pass filtered between 0.5 and 45 Hz. EOG artefact reduction by a regression method. Visual inspection for artefacts. 3D spline surface Laplacian estimation applied. Reference interval (R) for ERS/ERD: 500 to 2,500 ms after trial onset. Activation interval (A) for ERS/ERD: from problem presentation until 125 ms before oral response.;Theta (4-7 Hz). Alpha (8-12 Hz).;-;Repeated measures ANOVA. Huynh-Feldt procedure for correction of degrees of freedom. Bonferroni corrected post hoc t tests.;-;1;Felipe;;
QEEG coherence patterns related to mathematics ability in children;nzalone, Christopher and Luedke, Jessica C. and Green, Jessica J. and Decker, Scott L.;2022;Applied Neuropsychology: Child;USA;10.1080/21622965.2020.1830403;Observacional / Não-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);60 school-aged children. Mean = 9.58 years, SD = 1.38 years.;children;General math skills and broad math abilities. Specifically, the analysis used scores from the Math Calculation, Applied Problems, and Math Fluency subtests.;rest (while the participants were awake, with eyes closed).;;;Standardized math achievement scores (from Math Calculation, Applied Problems, and Math Fluency subtests of the WJ-III Ach). Broad Reading composite score (for discriminant validity). Measures of drowsiness (EEG patterns consistent with drowsiness were flagged and removed during artifact processing).;System: 10/20 placement system. Electrodes: 19 channel electrodes. Areas of Interest: Coherence values were converted to a format yielding standardized coherence between each of the 52 Brodmann areas (BAs). The analysis focused on intrahemispheric coherence between Brodmann area 40 (BA 40) and all other BAs.;BrainMaster Discovery 24E amplifier.;19 channel electrodes.;Filtering: 60 Hz notch filter. Bandwidth range set to 1.0 to 30 Hz. Artifact Removal: Manual visual inspection to remove abnormal amplitude spikes (related to muscle movement). Automated Neuroguide program to identify/flag artifacts related to drowsiness and eye muscle movement (followed by manual review). Automated Neuroguide program used to select and discard all data portions with artifacts, yielding an entirely artifact-free EEG sample.;Delta: 1.0–4.0 Hz Theta: 4.0–8.0 Hz Alpha 1: 8.0–10.0 Hz Alpha 2: 10.0–12.0 Hz Beta 1: 12.0–15.0 Hz Beta 2: 15.0–18.0 Hz Beta 3: 18.0–25.0 Hz High-beta: 25.0–30.0 Hz;Programming Language: MATLAB (2018). Analysis Software: Neuroguide program 6.6.4, IBM SPSS (version 24).;Principle Component Analyses (PCA) with varimax rotation. Bivariate Pearson's correlation coefficients. Multiple regression analyses. Selection criteria for regression: Component must correlate significantly with at least two of the three WJ-III Ach math subtests ($p < .05$).;Multiple linear regression was used to create a model that predicts Broad Math composite score and Broad Reading scores.;1;Felipe;;
Resolving Gender Difference in Problem Solving Based On the Analysis of Electroencephalogram (EEG) Signals;Safri, Norlaili Mat and Sha'ameri, Ahmad Zuri and Samah, Narina A. and Daliman, Shaparas;2018;International Journal of Integrated Engineering;MALAYSIA;;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);29 healthy undergraduates (16 female and 13 male subjects);Gender;Problem solving, specifically: mental arithmetic task (continuous subtraction of 7 from 1000) and Tower of Hanoi (TOH) task.;Control task where the subject was at rest with eyes open but empty minded.;-;-;Performance statistics (tabulated answer): Abilities in answering arithmetic questions with accurate final value and abilities to complete the TOH task within the maximum time.;Brain regions corresponding to the 10/30 electrode placement system: Frontal (F), Temporal (T), Central (C), Parietal (P), and Occipital (O). Analysis focused on signal sources, predominantly the Frontal (F) regions.;NeuroFax EEG 9000 signal acquisition software.;19 electrodes based on the 10/30 electrode placement system.;-;Delta (0-4 Hz), Theta (4-8 Hz), Alpha (8-13 Hz), Beta (13-31 Hz), Gamma (31-51 Hz), and High gamma (51-120 Hz).;C-program running on a Linux platform for PDC and PSE output, and Microsoft Excel for t-test.;Calculated statistics of high vs. low performance and t-test.;-;1;Felipe;;
Simple and difficult mathematics in children: A minimum spanning tree EEG network analysis;Vourkas, Michael and Karakonstantaki, Eleni and Simos, Panagiotis G. and Tsirka, Vasso and Antonakakis, Marios and Vamvoukas, Michael and Stam, Cornelis and Dimitriadis, Stavros and Micheloyannis, Sifis;2014;Neuroscience Letters;Greece;10.1016/j.neulet.2014.05.048;Quase-experimental;Longitudinal;Misto (Mixed Design);51 students (MD: n=20, NI: n=31). Screened at Grade 3, with EEG recordings taken one year later when students were in Grade 5 or 6.;Children with Math Difficulties (MD) and Typically Achieving Controls (NI);Arithmetic tasks, specifically simple addition and subtraction.;Visual fixation (control condition).;;Child Behavior Checklist-Parent Version (CBCL) was administered to assess externalizing and internalizing behavior problems.;"Accuracy and speed measures on psychometric math tasks (GMST and NUCALC). Response time is implied by the ""speed"" measure.";29 electrode sites according to a modified international 10/20 system. Analysis areas included Hemisphere (left, right), Area (fronto-central, temporo-parietal), and specific electrodes (F3/4, F7/8, FC3/4, FT7/8, T3/4, TP7/8, CP3/4, P3/4).;Electrocap, CONTACT Precision Instruments amplifiers, and a DATAQ AD Converter.;29 electrode sites. System: Modified international 10/20 system. Electrode impedances were kept below 5 KΩ.;High-pass at 0.004 Hz and low-pass at 200 Hz. Artifacts: Online monitoring to select artifact-free periods and offline selection of a single 8s artifact-free epoch per participant and condition.;Theta (4-6.5 Hz), Alpha1 (6.5-9 Hz), Alpha2 (9-12 Hz), and Beta (12-30 Hz).;BRAINWAVE v.9.54 (C.J. Stam).;Separate ANOVAs (Group as between-subjects, Task as repeated measures factor) and Pearson correlation coefficients.;-;1;Felipe;;
Spectra-temporal patterns underlying mental addition: An ERP and ERD/ERS study;Ku, Yixuan and Hong, Bo and Gao, Xiaorong and Gao, Shangkai;2010;Neuroscience Letters;China;10.1016/j.neulet.2010.01.040;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);15 right-handed college students (11 males, 4 females), aged 21–27 years (mean ± SD = 23.6 ± 1.7 years).;;Mental addition.;Control tasks where subjects watched or listened to letters (V-L and A-L).;EOG (Electro-oculogram) signal to detect horizontal and vertical eye movements.;;Accuracy rate (AR) and Reaction time (RT).;Standard 10-20 system. Electrodes grouped into nine regions of interest (ROI). Analysis used factors AP (anterior, center, posterior) and LR (left, medial, right). Results highlight the medial frontal areas, central and parietal areas, and the Cz electrode.;EEG recording system: SynAmps2, Compumedics, Ltd Corp, US.;60 Ag-AgCl scalp electrodes (Quick-Caps, Neuroscan). System: standard 10-20 system. Reference: linked earlobes.;Filtering: 0.1–100 Hz band-pass. EOG contamination excluded by linear regression in Neuroscan EDIT software. Artifact rejection: Trials with EEG voltages two standard deviations away from the mean were excluded. Epoching: 100 ms before to 1000 ms after every stimulus onset for ERP analysis. Baseline Correction: ERP baseline established from 100 ms preceding the stimulus and subtracted.;Theta (4–8 Hz), Alpha (8–13 Hz), and Beta (13–26 Hz).;Software: Matlab 7.0 (Math Works, US), Neuroscan EDIT software (Compumedics, US), Statistica (StatSoft, US). Toolbox: EEGLAB 6.0 toolbox (Swartz Center for Computational Neurosciences, US).;Repeated measures analysis of variance (ANOVA) (Two-way, Four-way, and Five-way depending on the variable). Post hoc Tukey HSD test. Point-by-point analysis of variance.;-;1;Felipe;;
Stress Identification during Sustained Mental Task and Brain Relaxation Modeling with ߚ ߙ⁄ Band Power Ratio;Yusuf, Md. Salah Uddin and Islam, Monira and Roy, Shidhartho;2019;2019 4th International Conference on Electrical Information and Communication Technology, EICT 2019;Bangladesh;10.1109/EICT48899.2019.9068748;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);52 subjects, aged 20 to 23 (average 22.3);;Mathematical problem-solving;Relax State / Resting baseline;;;;;BIOPAC MP36 system, BIOPAC electrode lead set (SS2L), disposable vinyl electrodes (EL503).;;Filtering to remove power line carriers. Raw EEG divided into frequency bands.;Alpha (8-13 Hz), Beta (14-30 Hz), Delta (0.5-4 Hz), Theta (4-8 Hz);MATLAB platform;Power Spectral Density (PSD) analysis. Least square algorithm.;Mathematical modeling (Quadratic expression using least square algorithm);1;Felipe;;
Studying Functional Brain Networks to Understand Mathematical Thinking: A Graph-Theoretical Approach;Bamparopoulos, Georgios and Klados, Manousos A. and Papathanasiou, Nikolaos and Antoniou, Ioannis and Micheloyannis, Sifis and Bamidis, Panagiotis D.;2014;IFMBE Proceedings;;10.1007/978-3-319-00846-2_194;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"10 subjects; Ten right-handed medical students of the University of Crete. Age not provided.";;Simple Addition (single-digit numbers) and Difficult Multiplication (two-digit multiplications).;Number Looking (control situation).;Ocular artifacts corrected using the REGICA plugin, implying EOG was measured or accounted for.;;"Accuracy (only pieces ""with correct answers"" were chosen for analysis).";The nodes of the weighted graphs were the EEG channels. The specific number of channels or system (e.g., 10-20) is not provided.;;;;;EEGLAB toolbox.;"Kolmogorov-Smirnov test (K-S test); Mann-Whitney U test ($p < 0.05$).";;1;Felipe;;
Surface EEG shows that functional segregation via phase coupling contributes to the neural substrate of mental calculations;Dimitriadis, Stavros I. and Kanatsouli, Kassiani and Laskaris, Nikolaos A. and Tsirka, Vasso and Vourkas, Michael and Micheloyannis, Sifis;2012;Brain and Cognition;Greece;10.1016/j.bandc.2012.04.001;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"18 right-handed volunteers;average age of 23 years (age range: 21–26 years).";right-handed medical school students;Multiplication of two-digit numbers and comparison of four-digit numbers.;resting baseline;EOG;-;accuracy;international 10/20 system, full;-;30 electrodes, plus 2 additional EOG and reference electrodes.;Filtered online with a 0.1–200 Hz bandpass. Segmented into artifact-free epochs of 8 seconds. Independent Component Analysis (ICA) to eliminate artifacts (e.g., eyes, heart, muscles). A zero-phase pass-band filter.Features extracted: Coherence (COH), Nonlinear Interdependence (NI), and Phase Locking Index (PLI).;Theta: (4–8 Hz). Alpha 1: (8–10 Hz). Alpha 2:(10–13 Hz). Beta: (13–30 Hz). Gamma:(30–45 Hz).;Matlab language,;"contrast function (J-index); randomization procedure was used to test the statistical significance of the J-index values.";-;1;Eduarda;;
Task Difficulty and EEG Alpha Asymmetry: An Amplitude and Frequency Analysis;Earle JB;1988;Neuropsychobiology;Switzerland;10.1159/0001184822;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);20 right-handed subjects (10 female, 10 male) selected from a liberal-arts college.;right-handed with no familial history of left-handedness, and they exhibited more than 50% alpha activity in an eye-closed baseline condition.;serial subtraction;verbal image-matching task and a spatial part-to-whole matching task. The difficulty levels of the tasks are also compared to each other.;EOG;Math Anxiety Rating Scale (MARS), Verbalizer-Visualizer Questionnaire, Fear of Negative Evaluation Scale.;accuracy, response time, self-reported ratings (anxiety, confusion, difficulty);parietal, temporal;Med Associates AN100 preamplifier/physiological amplifiers with an ECI Electro-cap.;4 recording electrodes (P3, P4, T5, T6), plus one reference electrode (Cz) and EOG electrodes.;filtered through a 0.4–40 Hz passband filter. Alpha activity (8–13 Hz) was isolated with a 4-pole Butterworth alpha filter. Epochs with eye movement artifacts were eliminated. Features extracted: Integrated alpha amplitude. Mean alpha frequency. Alpha amplitude and frequency asymmetry ratios;Alpha : (8-13Hz);-;ANOVA, Across-subject correlational analysis, Median splits.;-;1;Eduarda;;
Task-Independent Cognitive Workload Discrimination Based on EEG with Stacked Graph Attention Convolutional Networks;Chenyu Wei, Xuewen Zhao,Yu Song and Yi Liu;2025;Sensors;China;10.3390/s25082390;Estudo Metodológico, Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);15 graduate students (11 male, 4 female) with a mean age of 24 years old (aged 22 to 25).;graduate students, native Chinese speakers, right-handed, and have normal or corrected-to-normal vision.;mental arithmetic task, which involves addition operations with single-digit, two-digit, and three-digit numbers;working memory task (N-back) and a short-term memory task (Sternberg). The different workload levels within the mental arithmetic task are also compared to each other.;-;NASA-TLX;self-reported measure of cognitive workload.;international 10/20 system, full;NeuSen.W64 system.;59-channel;Down-sampled from 1000 Hz to 200 Hz. Bandpass filters (1–75 Hz) and a trap filter (49–51 Hz). A global averaging reference was applied. Independent Component Analysis (ICA), The signals were categorized into four frequency bands using a Butterworth filter. Features extracted: node information: Differential Entropy (DE) and Power Spectral Density (PSD) for each channel. Network structure: Phase-Locked Values (PLV), Phase-Lag Indices (PLI), Pearson Correlation Coefficients (PCC), and Mutual Information (MI) were used to generate the functional brain network.;Delta (1–3 Hz) Theta (4–8 Hz) Alpha (8–12 Hz) Beta (12–30 Hz);EEGLAB toolbox;ANOVA, cross-validation;Stacked Graph Attention Convolutional Networks (SGATCNs) model, along with comparative models including GAT, GCN, SVM, RF, KNN, and LR.;1, 3;Eduarda;;
The analysis of EEG coherence reflects middle childhood differences in mathematical achievement;González-Garrido, Andrés A. and Gómez-Velázquez, Fabiola R. and Salido-Ruiz, Ricardo A. and Espinoza-Valdez, Aurora and Vélez-Pérez, Hugo and Romo-Vazquez, Rebeca and Gallardo-Moreno, Geisa B. and Ruiz-Stovel, Vanessa D. and Martínez-Ramos, Alicia and Berumen, Gustavo;2018;Brain and Cognition;Mexico;10.1016/j.bandc.2018.04.006;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);40 children, all aged 8-to-9 years old. High Achievement (HA) Group: 20 children (6 females), mean age 9.1 years. Low Achievement (LA) Group: 20 children (10 females), mean age 9.1 years.;math achievement scores on the WRAT-4, right-handed, IQ of 90 or higher;-;;EOG;Wechsler Intelligence Scale for Children (WISC-IV);accuracy, reaction times, non-responses;full;Electro-Cap with a MEDICID-04 system (Neuronic Systems, Inc.).;19 scalp electrode site;filtered at a band-pass of 0.5-to-30 Hz. Blind Source Separation. Features extracted: Magnitude-squared coherence. Time-frequency domain analysis of spectral power.;Delta, Theta Alpha, Beta. The full range was 0-to-30 Hz.;Mindtracer;mixed-design, repeated measures ANOVA, one-way ANOVA with Tukey’s honest significant difference (HSD) corrections;-;1;Eduarda;;
Towards Predicting Attention and Workload During Math Problem Solving;Tato, Ange and Nkambou, Roger and Ghali, Ramla;2019;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Canada;10.1007/978-3-030-22244-4_27;Experimental;Longitudinal;Entre-sujeitos (Between-subjects);"17 alunos (10 F, 7 M). Idade: entre 9 e 11 anos (M=10,05; DP=0,42).";-;Internal comparison to past mental state values/events;-;-;-;Attention And Workload;CenterLeft and CenterRight brain hemisphere measures (Left/Right data excluded from final model);"Neeuro Senzeband non-invasive EEG headset; Netmath web application";4 raw EEG channels;"Epoching (20s timestep); Attempted standardization and normalization (raw values retained)";-;Python usando Keras.;"Binary cross entropy (loss); Adam (optimizer)";LSTM;1;Felipe;;
Training Machine Learning Models to Detect Group Differences in Neurophysiological Data using Recurrence Quantification Analysis based Features;Guglielmo, Gianluca and Wiltshire, Travis J. and Louwerse, Max;2022;International Conference on Agents and Artificial Intelligence;Netherlands;10.5220/0010832200003116;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"36 healthy participants; Age not specified";-;Mental arithmetic/Numerical skills;-;-;-;Calculations per minute;F7, Pz, P4, and Fp1. Frontal and parietal regions. International 10/20 scheme.;EEG 23-channel system. No specific brand/model mentioned.;23 EEG channels. Layout: International 10/20 scheme. Technology/Reference: Not specified.;Filters: Low pass filter (45 Hz) and a power notch filter (50 Hz). Data is reported as artifact-free.;-;Python (Pyunicorn library). R (Tserieschaos package, nonlinearTseries package).;"Randomized Search (for hyperparameter selection); Extra Trees method (for feature selection); 5-fold cross-validation.";Classifiers: Support Vector Machine (SVM), Random Forest (RF), and Gradient Boosting Classifier (GBC). Technique: SMOTE (Synthetic Minority Oversampling Technique) for class balancing. Validation: 5-fold cross-validation. Metrics: Accuracy.;3;Felipe;;
